,domain,slot,source_value
543,pc,series,Xiaomi Gaming Laptop Series
544,pc,series,RedmiBook 14 Series
545,pc,series,Xiaomi Air Series
546,pc,usage,gaming
547,pc,usage,regular
548,pc,usage,business
549,restaurant,address,"South Commercial Street, Shihu Scenic Area, Shihu West Road"
550,restaurant,address,"No. 256, Pingjiang Road (near Baita East Road)"
551,restaurant,address,"No. 91, Guanqian Street, Gusu District, Suzhou City"
552,restaurant,address,"No. 3, Xitanghe Road"
553,restaurant,address,"No. 22, North Tongjing Road"
554,restaurant,address,"No. 22, Ligong Causeway Road"
555,restaurant,address,"No. 47-1, Jinshan Road (No. B1001-2, Floor B1, Mudu Tianhong Mall)"
556,restaurant,address,"Floor 1, Building 1, No. 1109, Wuzhong Avenue, Yuexi Street, Wuzhong Economic Development Zone, Suzhou"
557,restaurant,address,Near the intersection of Xushi Street and Zhongshi Street
558,restaurant,address,"Floor 4, Jinhe International Building, No. 35, Shishan Road"
559,restaurant,address,"No.11, Huaihai Street"
560,restaurant,address,"Floor 1, Wugong Lidu Commercial Street, No. 215, Shishan Road"
561,restaurant,address,"Floor 2, Aeon Mall, No. 19, Intercity Road"
562,restaurant,address,"Intersection of Liuhong Road and Luxiang South Road, Wujiang District"
563,restaurant,address,"S3015, F3, Wanbao Plaza, Songling"
564,restaurant,address,"No. 318, Huanhu West Road, Tongli Town"
565,restaurant,address,"No. 1066, Lushen Avenue, Fenhu Economic Development Zone"
566,restaurant,business hours,"10:00-19:00, Monday to Sunday"
567,restaurant,business hours,"08:30-21:30, Monday to Sunday"
568,restaurant,business hours,"09:30-21:30, Monday to Sunday"
569,restaurant,business hours,"11:30-14:00 17:30-21:30, Monday to Sunday"
570,restaurant,business hours,"06:00-14:00 16:30-19:00, Monday to Sunday"
571,restaurant,business hours,"10:30-14:00 16:30-21:00, Monday to Sunday"
572,restaurant,business hours,"09:00-20:00, Monday to Sunday"
573,restaurant,business hours,"11:00-23:30, Monday to Sunday"
574,restaurant,business hours,"11:00-22:00, Monday to Sunday"
575,restaurant,business hours,"11:00-14:00 16:00-22:00, Monday to Sunday"
576,restaurant,business hours,"09:30-02:00, Monday to Sunday"
577,restaurant,business hours,"07:30-20:30, Monday to Sunday"
578,restaurant,business hours,"10:00-21:00, Monday to Sunday"
579,restaurant,business hours,"07:00-20:30, Monday to Sunday"
580,restaurant,business hours,"08:00-20:00, Monday to Sunday"
581,restaurant,dishes,Chocolate Muffins
582,restaurant,dishes,Kimchi Pie
583,restaurant,dishes,Noodle of the Essence of Beef Offal
584,restaurant,dishes,Cooked Pork Slices
585,restaurant,dishes,Bones in sauce
586,restaurant,dishes,Sichuan Dandan Noodles
587,restaurant,dishes,"White fish, silverfish and white shrimp of Taihu Lake"
588,restaurant,dishes,Salmon sushi
589,restaurant,metro station,true
590,restaurant,metro station,false
591,restaurant,name,Palsaik Korean +Q
592,restaurant,pricerange,slightly expensive
593,tv,director,Sun Hao
594,tv,director,Wang Fulin
595,tv,director,Yang Jie
596,tv,director,Lee Kwok-lap
597,tv,director,Shang Jing
598,tv,director,Sean Zhang
599,tv,director,Yuen Woo-ping
600,tv,director,Li Ping
601,tv,director,Sun Shu-pei
602,tv,director,Woo Ming-hoi
603,tv,director,Chen Chun-liang
604,tv,director,Yen Yi-wen
605,tv,director,Qu Youning
606,tv,director,Derek Wu
607,tv,director,Steven Huang
608,tv,director,Tsai Yueh-Hsun
609,tv,director,Xia Zuhui
610,tv,director,Liao Fei-hung
611,tv,director,Chen Ho-yu
612,tv,director,Lin Qingzhen
613,tv,director,Chang Heng-ju
614,tv,director,Jazz Boon
615,tv,director,Mui Siu-ching
616,tv,director,Lee Tim-sing
617,tv,director,Chiu Chun-keung
618,tv,director,Dave Fong
619,tv,director,Simon Sek
620,tv,director,Marco Law
621,tv,director,Amy Wong
622,tv,director,Siu Hin-Fai
623,tv,director,Timothy Van Patten
624,tv,director,John Madden
625,tv,director,James Burrows
626,tv,director,Andrés Baiz
627,tv,director,John Carney
628,tv,director,Larry Shaw
629,tv,director,Alex Graves
630,tv,director,David Slade
631,tv,director,J. J. Abrams
632,tv,director,Adam Bernstein
633,tv,director,Joji Matsuoka
634,tv,director,Hideki Takeuchi
635,tv,director,Kazuya Konaka
636,tv,director,Hiroshi Nishitani
637,tv,director,Jun'ichi Ishikawa
638,tv,director,Hiroaki Matsuyama
639,tv,director,Lee Jung-hyo
640,tv,director,Lee Byung Hoon
641,tv,director,Lee Kwang-hoon
642,tv,director,Jang Tae-yoo
643,tv,director,Kim Won-seok
644,tv,douban score,7.2
645,tv,douban score,8.8
646,tv,douban score,8.6
647,tv,name list,Zhang Ruoyun/Li Qin/Chen Daoming/Wu Gang
648,tv,name list,Tang Guoqiang/Sun Yanjun/Bao Guoan/Li Jingfei
649,tv,name list,Liu Xiao Ling Tong/Chi Zhongrui/Ma Dehua/Wang Yue
650,tv,name list,Yan Ni/Yao Chen/Sha Yi/Johnson Yuen
651,tv,name list,Wen Xingyu/Song Dandan/Yang Lixin/Liang Tian
652,tv,name list,You Benchang/Lv Liang
653,tv,name list,Hu Ge/Michelle Bai/Zhang Shi/Ren Quan
654,tv,name list,Wu Jing/Yu Hai/Wai Ying-hung/Billy Chow
655,tv,name list,Liu Haoran/Seven Tan/Wang Lixin/Dong Qing
656,tv,name list,Vicki Zhao/Ruby Lin/Leo Ku/Alec Su
657,tv,name list,Zhao Wei/Alec Su/Ruby Lin/Zhou Jie
658,tv,name list,Ouyang Fenqiang/Chen Xiaoxu/Deng Jie/Zhang Li
659,tv,name list,Liu Chang/Lu Shan/Mei Ting/Liu Mintao
660,tv,name list,Li Rui/Xing Kaixuan/Wang Xinbo/Li Xue
661,tv,name list,Zhou Jie/Shi Xiaolong/Ren Quan/Li Bingbing
662,tv,name list,Lu Yi/Michelle Ke/Zhang Fengyi/Wu Gang
663,tv,name list,Alyssa Chia/James Wen/Wu Kang-ren/Tracy Chou
664,tv,name list,Alex To/Tien Hsin/Carol Cheng/Penny Lin
665,tv,name list,Steve Ma/Cecilia Yip/Kathy Chau/Suen Hing
666,tv,name list,Hsieh Ying-hsuan/James Wen/Lan Weihua/Wu Yee-han
667,tv,name list,Joseph Cheng/Ariel Lin/Cyndi Chao/Tang Tsung Sheng
668,tv,name list,Lin Yizhen/Peng Qiaqia/Sun Xing/Bai Bingbing
669,tv,name list,Shi Yan-wen/The Man Behind The Mirror/Shengu Wenhuang
670,tv,name list,Dicky Cheung/Li Bingbing/Li Xiaolu/Alec Su
671,tv,name list,Anita Yuen/Chiu Man-Cheuk/Suen Hing/Doze Niu
672,tv,name list,Barbie Hsu/Jerry Yan/Vic Chou/Ken Chu
673,tv,name list,Angie Chiu/Cecilia Chan/Maggie Chan/Shi Naiwen
674,tv,name list,Aaron Yan/Alien Huang/Lu Tingwei/Emma Wu
675,tv,name list,Cash Chuang/Xia Yuqiao/Cao Yanhao/Cai Shuzhen
676,tv,name list,Vic Zhou/Mark Chao/Ivy Chen/Janine Chang
677,tv,name list,Michael Miu/Charmaine Sheh/Raymond Lam/Sammy Sum
678,tv,name list,Bobby Au-yeung/Frankie Lam/Mung Yoyo/Linda Chung
679,tv,name list,Jordan Chan/Steven Ma/Rain Lau/Noel Leung
680,tv,name list,Chow Yun-fat/Angie Chiu/Ray Lui/Lau Dan
681,tv,name list,Bobby Au-yeung/Wu Ting-yan/Helena Law/Woo Fung
682,tv,name list,Louis Koo/Kwong Wa/Jessica Hester Hsuan/Sonija Kwok
683,tv,name list,Benny Chan/Kwong Wa/Wayne Lai/Mak Cheung-ching
684,tv,name list,Benny Chan/Irene Wan/Chin Ka-lok/Yuen Lai-king
685,tv,name list,Donnie Yen/Man Meng-yee/Kenny Lin
686,tv,name list,Nick Cheung/Gordon Lam/Bobby Au-yeung/Marco Ngai
687,tv,name list,Louis Koo/Carman Lee/Jason Pai/Bonnie Ngai
688,tv,name list,Haoran Liu/Thomas Lam/Thor Lok/Sofiee Ng
689,tv,name list,Kwok Chun-on/Ng Cheuk-hei/Kristal Tin/Kiki Sheung
690,tv,name list,Isaac Hempstead-Wright/Charles Dance/John C. Bradley
691,tv,name list,Jeremy Brett/Edward Hardwick
692,tv,name list,Jennifer Aniston/Courteney Cox/Lisa Kudrow
693,tv,name list,"Wentworth Miller, Dominic Purcell, and Peter Stormare."
694,tv,name list,Marcia Klaus/Felicity Hoffmann/Eva Longoria
695,tv,name list,Evan Rachel Wood/Anthony Hopkins/Ed Harris
696,tv,name list,Anna Toff/John Nobel/Joshua Jackson
697,tv,name list,Hugh Dancy/Mads Mikkelsen/Caroline Dhavernas
698,tv,name list,Matthew Fox/Jorge Garcia/Daniel Dae Kim
699,tv,name list,Brian Collanston/Aaron Paul/Anna Gon
700,tv,name list,Satomi Ishihara/Iura Arata/Kubota Masataka
701,tv,name list,Kobayashi Kaoru/Sudou Risa/Tomoko Tabata
702,tv,name list,Kazuki Futami/Miyabi Kimura/Koide Yuka
703,tv,name list,Kento Kaku/Kentarō Itō/Nana Seino
704,tv,name list,Juri Ueno/Tamaki Hiroshi/Nagayama Eita
705,tv,name list,Jun Matsumoto/Nagayama Eita/Riisa Naka
706,tv,name list,Takuji Kawakubo/Yusuke Kirishima/Masato Uchiyama
707,tv,name list,Honami Suzuki/Yūji Oda/Yōsuke Eguchi
708,tv,name list,Osawa Takao/Miki Nakatani/Ayase Haruka
709,tv,name list,Matsu Takako/Mitsushima Hikari/Takahashi Issey
710,tv,name list,Fukuyama Masaharu/Kou Shibasaki/Kazuki Kitamura
711,tv,name list,Sakai Masato/Aragaki Yui/Namase Katsuhisa
712,tv,name list,Erika Toda/Shota Matsuda/Michiko Kichise
713,tv,name list,Hyun Bin/Son Ye-jin/Seo Ji-hye/Kim Jung-hyun
714,tv,name list,Lee Young-ae/Ji Jin-hee/Lim Ho/Hong Ri-na
715,tv,name list,Yum Jung-ah/Gun Jang-dong/Han Jae-seok/Kim Nam-joo
716,tv,name list,Sung Dong-il/Lee Il-hwa/Ra Mi-ran/Kim Sung-kyun
717,tv,name list,Lee Min-ho/ParkMin-young/Lee Jun-hyuk/Koo Hara
718,tv,name list,Choi Jin-sil/Ahn Jae-wook/Cha In-pyo/Jeon Do-yeon
719,tv,name list,Hyun Bin/Ha Ji-won/Yoon Sang-hyun/Kim Sa-rang
720,tv,name list,Lee Joon-gi/Nam Sang-mi/Jung Kyung-ho/Choi Jae-Sung
721,tv,premiere time,2019-11-26 in the Chinese mainland
722,tv,premiere time,2009-04-01 in the Chinese mainland
723,tv,premiere time,1994-10-23 in the Chinese mainland
724,tv,premiere time,1986-02 in the Chinese mainland
725,tv,premiere time,2006-01-02 in the Chinese mainland
726,tv,premiere time,1993-07-01 in the Chinese mainland
727,tv,premiere time,1985 in the Chinese mainland
728,tv,premiere time,2010-01-02 in the Chinese mainland
729,tv,premiere time,2003-12-11 in the Chinese mainland
730,tv,premiere time,1998 in the Chinese mainland
731,tv,premiere time,2016-04-08 in the Chinese mainland
732,tv,premiere time,2001-09-03 in the Chinese mainland
733,tv,premiere time,1998-10-28 in the Chinese mainland
734,tv,premiere time,1987-05-02 in the Chinese mainland
735,tv,premiere time,2018-08-09 in the Chinese mainland
736,tv,premiere time,2004-08-04 in the Chinese mainland
737,tv,premiere time,2017-08-30 in the Chinese mainland
738,tv,premiere time,2000-09-04 in the Chinese mainland
739,tv,premiere time,2017-03-28 in the Chinese mainland
740,tv,premiere time,2004-10-01 in the Chinese mainland
741,tv,premiere time,"2019-03-24 in Taiwan, China"
742,tv,premiere time,"2003-10-07 in Taiwan, China"
743,tv,premiere time,"1994-03-10 in Taiwan, China"
744,tv,premiere time,"2019-08-04 in Taiwan, China"
745,tv,premiere time,"2005-09-25 in Taiwan, China"
746,tv,premiere time,"1991-04-23 in Taiwan, China"
747,tv,premiere time,"2012-06-27 in Taiwan, China"
748,tv,premiere time,"2001-03-14 in Taiwan, China"
749,tv,premiere time,"1999-06-28 in Taiwan, China"
750,tv,premiere time,"2019-11-17 in Taiwan, China"
751,tv,premiere time,"2001-04-21 in Taiwan, China"
752,tv,premiere time,"1992-11-15 in Taiwan, China"
753,tv,premiere time,"2009-02-27 in Taiwan, China"
754,tv,premiere time,"2008-11-07 in Taiwan, China"
755,tv,premiere time,"2019-06-08 in Taiwan, China"
756,tv,premiere time,"2009-04-11 in Taiwan, China"
757,tv,premiere time,"2014-08-25 in Hong Kong, China"
758,tv,premiere time,"2006-06-13 in Hong Kong, China"
759,tv,premiere time,"1998-06-01 in Hong Kong, China"
760,tv,premiere time,"1980-03-10 in Hong Kong, China"
761,tv,premiere time,"2016-06-27 in Hong Kong, China"
762,tv,premiere time,"2001-10-15 in Hong Kong, China"
763,tv,premiere time,"1998-10-26 in Hong Kong, China"
764,tv,premiere time,"2011-08-01 in Hong Kong, China"
765,tv,premiere time,"2001-07-23 in Hong Kong, China"
766,tv,premiere time,"1995-08-14 in Hong Kong, China"
767,tv,premiere time,"2000-08-07 in Hong Kong, China"
768,tv,premiere time,"1995-07-31 in Hong Kong, China"
769,tv,premiere time,"2019-08-05 in Hong Kong, China"
770,tv,premiere time,"2014-07-14 in Hong Kong, China"
771,tv,premiere time,"2003-02-24 in Hong Kong, China"
772,tv,premiere time,2011-04-17 in America
773,tv,premiere time,2001-09-09 in America
774,tv,premiere time,1991-02-21 in America
775,tv,premiere time,2018-09-24 in America
776,tv,premiere time,2007-09-24 in America
777,tv,premiere time,2015-08-28 in America
778,tv,premiere time,2005-09-01 in America
779,tv,premiere time,2019-10-18 in America
780,tv,premiere time,2004-10-03 in America
781,tv,premiere time,2016-10-02 in America
782,tv,premiere time,2008-09-23 in America
783,tv,premiere time,2013-04-04 in America
784,tv,premiere time,2004-09-22 in America
785,tv,premiere time,2008-01-20 in America
786,tv,premiere time,2018-01-12 in Japan
787,tv,premiere time,2009-10-09 in Japan
788,tv,premiere time,2018-10-14 in Japan
789,tv,premiere time,2006-10-16 in Japan
790,tv,premiere time,2012-01-16 in Japan
791,tv,premiere time,2004-10-02 in Japan
792,tv,premiere time,2007-04-16 in Japan
793,tv,premiere time,2017-12-15 in Japan
794,tv,premiere time,2009-10-11 in Japan
795,tv,premiere time,2017-01-17 in Japan
796,tv,premiere time,2007-10-15 in Japan
797,tv,premiere time,2012-04-17 in Japan
798,tv,premiere time,2007-04-14 in Japan
799,tv,premiere time,2019-12-14 in South Korea
800,tv,premiere time,1997-04-09 in South Korea
801,tv,premiere time,2015-11-06 in South Korea
802,tv,premiere time,2005-06-01 in South Korea
803,tv,premiere time,2011-05-25 in South Korea
804,tv,premiere time,2008-05-21 in South Korea
805,tv,premiere time,2013-12-18 in South Korea
806,tv,premiere time,2004-07-14 in South Korea
807,tv,premiere time,2010-11-13 in South Korea
808,tv,premiere time,2016-01-22 in South Korea
809,tv,premiere time,2007-07-18 in South Korea
810,tv,star,Tang Guoqiang
811,tv,star,Wallace Huo
812,tv,star,Yan Ni
813,tv,star,Wu Jing
814,tv,star,Vicki Zhao
815,tv,star,Pan Yueming
816,tv,star,Zhou Jie
817,tv,star,Lu Yi
818,tv,star,Wang Zhifei
819,tv,star,Alyssa Chia
820,tv,star,Alex To
821,tv,star,Hsieh Ying-hsuan
822,tv,star,Joseph Cheng
823,tv,star,Lin Yizhen
824,tv,star,Anita Yuen
825,tv,star,Alice Ko
826,tv,star,Aaron Yan
827,tv,star,Cash Chuang
828,tv,star,Jordan Chan
829,tv,star,Louis Koo
830,tv,star,Elaine Ng
831,tv,star,Kwok Chun-on
832,tv,star,Isaac Hempstead-Wright
833,tv,star,Jeremy Brett
834,tv,star,Anne Hathaway
835,tv,star,Marcia Cross
836,tv,star,Evan Rachel Wood
837,tv,star,Anna Toff
838,tv,star,Hugh Dancy
839,tv,star,Brian Collanston
840,tv,star,Satomi Ishihara
841,tv,star,Kobayashi Kaoru
842,tv,star,Kazuki Futami
843,tv,star,Juri Ueno
844,tv,star,Yahagi Honoka
845,tv,star,Osawa Takao
846,tv,star,Matsu Takako
847,tv,star,Fukuyama Masaharu
848,tv,star,Lee Young-ae
849,tv,star,Yum Jung-ah
850,tv,star,Sung Dong-il
851,tv,star,Lee Min-ho
852,tv,star,Choi Jin-sil
853,tv,title,Romance of the Three Kingdoms
854,tv,title,Princess Pearl
855,tv,title,The Making of an Ordinary Woman
856,tv,title,Bewitched
857,tv,title,The Legend of White Snake
858,tv,title,Mysterious Incredible Terminator
859,tv,title,"Hate the Sin, Love the Sinner"
860,tv,title,The Deer and the Cauldron
861,tv,title,House Of Spirits
862,tv,title,League of Gods
863,tv,title,Legends of the Condor Heroes
864,tv,title,Black Heart White Soul
865,tv,title,Game of Thrones Season 1
866,tv,title,The Complete Sherlock Holmes
867,tv,title,Modern Love Season 1
868,tv,title,Desperate Housewives Season 1
869,tv,title,Fringe Season 1
870,tv,title,Hannibal Season 1
871,tv,title,Breaking Bad Season 1
872,tv,title,Midnight Food Store
873,tv,title,Nodame Cantabile
874,tv,title,Galileo
875,tv,title,Project Runway
876,weather,tamperature,"The maximum temperature will be 10 degrees Celsius, and the minimum temperature will be 1 degree Celsius."
877,weather,tamperature,"The maximum temperature will be 11 degrees Celsius, and the minimum temperature will be -1 degree Celsius."
878,weather,tamperature,"The maximum temperature will be 14 degrees Celsius, and the minimum temperature will be 1 degrees Celsius."
879,weather,tamperature,The maximum temperature will be 17 degrees Celsius and the minimum temperature will be 6 degrees Celsius.
880,weather,tamperature,The maximum temperature will be 14 degrees Celsius and the minimum temperature will be 8 degrees Celsius.
881,weather,tamperature,"The maximum temperature will be 15 degrees Celsius, and the minimum temperature will be 4 degrees Celsius."
882,weather,tamperature,"The maximum temperature will be 16 degrees Celsius, and the minimum temperature will be 6 degrees Celsius."
883,weather,tamperature,"The maximum temperature will be 17 degrees Celsius, and the minimum temperature will be 8 degrees Celsius."
884,weather,weather condition,overcast to light rain
885,weather,weather condition,cloudy to overcast
886,weather,weather condition,overcast to showers
887,weather,weather condition,light rain to cloudy
888,weather,wind,north force 3-4
889,weather,wind,north force 2
890,weather,wind,south force 1
